Type;Status;Part number;Datasheet;Function;Bop;Brp;TC;Supply current;Supply voltage min;Supply voltage max;Ambient temperature;Package;Sensitive axis;AEC-Q100;Output type;Active pole;Output polarity;ASIL;Specific features;Product page
3-wire;Production;MLX90248ESE-EBA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx90248-datasheet-melexis.pdf;Omnipolar switch;±3.5;±2.5;0;0.0035;1.5 ;3.6;-40 to 85;TSOT-3L;Bz;;Open drain;N & S;Direct;;;https://melexis.com/MLX90248
3-wire;Production;MLX90248ELD-EBA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx90248-datasheet-melexis.pdf;Omnipolar switch;±3.5;±2.5;0;0.0035;1.5 ;3.6;-40 to 85;UTDFN-6;Bz;;Open drain;N & S;Direct;;;https://melexis.com/MLX90248
3-wire;Production;MLX90248ESC-EBA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx90248-datasheet-melexis.pdf;Omnipolar switch;±3.5;±2.5;0;0.0035;1.5;3.6;-40 to 85;SC70;Bz;;Open drain;N & S;Direct;;;https://melexis.com/MLX90248
3-wire;Production;MLX90248ESC-ECA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx90248-datasheet-melexis.pdf;Omnipolar switch;±3.5;±2.5;0;0.0035;1.5;3.6;-40 to 85;SC70;Bz;;Open drain;N & S;Direct;;;https://melexis.com/MLX90248
3-wire;Production;MLX92211LUA-AAA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx92211-datasheet-melexis.pdf;Latch;3;-3;-1100;3;2.7 ;24;-40 to 150;UA;Bz;✔;Open Drain;S;;A;;https://melexis.com/MLX92211
3-wire;Production;MLX92211LSE-AAA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx92211-datasheet-melexis.pdf;Latch;3;-3;-1100;3;2.7;24;-40 to 150;TSOT-3L;Bz;✔;Open Drain;S;;A;;https://melexis.com/MLX92211
3-wire;Production;MLX92211LSE-ACA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx92211-datasheet-melexis.pdf;Latch;2.8;-2.8;-2000;3;2.7 ;24;-40 to 150;TSOT-3L;Bz;✔;Open Drain;N;;A;;https://melexis.com/MLX92211
3-wire;Production;MLX92211LUA-ADA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx92211-datasheet-melexis.pdf;Latch;13.5;-13.5;-2000;3;2.7;24;-40 to 150;UA;Bz;✔;Open Drain;S;;A;;https://melexis.com/MLX92211
3-wire;Production;MLX92211LSE-ADA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx92211-datasheet-melexis.pdf;Latch;13.5;-13.5;-2000;3;2.7 ;24;-40 to 150;TSOT-3L;Bz;✔;Open Drain;S;;A;;https://melexis.com/MLX92211
3-wire;Production;MLX92211LUA-AEA-000;https://media.melexis.com/-/media/files/documents/datasheets/mlx92211-datasheet-melexis.pdf;Latch;3;-3;-1100;3;2.7 ;24;-40 to 150;UA;Bz;✔;Open Drain;S;;A;;https://melexis.com/MLX92211
